Resulting imbalance:1.024
cutsize/#vertices:0.1398
Cutsize:2796
----------------------------
Part Weights:
0 :310
1 :310
2 :318
3 :314
4 :316
5 :304
6 :314
7 :320
8 :308
9 :320
10 :316
11 :308
12 :312
13 :308
14 :312
15 :308
16 :306
17 :320
18 :320
19 :314
20 :304
21 :308
22 :310
23 :310
24 :320
25 :316
26 :312
27 :316
28 :320
29 :316
30 :318
31 :308
32 :310
33 :312
34 :314
35 :318
36 :316
37 :316
38 :308
39 :320
40 :312
41 :308
42 :316
43 :316
44 :318
45 :314
46 :312
47 :306
48 :308
49 :306
50 :316
51 :320
52 :310
53 :310
54 :320
55 :306
56 :306
57 :304
58 :304
59 :320
60 :304
61 :312
62 :308
63 :314
