Resulting imbalance:1.024
cutsize/#vertices:0.1276
Cutsize:2552
----------------------------
Part Weights:
0 :314
1 :306
2 :314
3 :306
4 :320
5 :304
6 :314
7 :314
8 :306
9 :320
10 :310
11 :308
12 :304
13 :320
14 :310
15 :318
16 :320
17 :320
18 :304
19 :316
20 :304
21 :318
22 :320
23 :320
24 :318
25 :316
26 :316
27 :308
28 :312
29 :314
30 :304
31 :318
32 :304
33 :320
34 :312
35 :304
36 :320
37 :310
38 :318
39 :320
40 :304
41 :304
42 :306
43 :308
44 :316
45 :312
46 :318
47 :310
48 :316
49 :310
50 :314
51 :314
52 :320
53 :312
54 :320
55 :308
56 :304
57 :304
58 :306
59 :320
60 :304
61 :308
62 :320
63 :318
