Resulting imbalance:1.02801
cutsize/#vertices:1.75976
Cutsize:17529
----------------------------
Part Weights:
0 :75
1 :80
2 :75
3 :75
4 :77
5 :78
6 :78
7 :78
8 :75
9 :75
10 :75
11 :75
12 :80
13 :75
14 :79
15 :75
16 :80
17 :79
18 :80
19 :80
20 :75
21 :76
22 :75
23 :80
24 :75
25 :79
26 :80
27 :80
28 :80
29 :80
30 :80
31 :80
32 :75
33 :75
34 :80
35 :75
36 :80
37 :75
38 :75
39 :78
40 :80
41 :80
42 :80
43 :80
44 :80
45 :80
46 :78
47 :80
48 :77
49 :75
50 :80
51 :80
52 :77
53 :75
54 :75
55 :75
56 :76
57 :80
58 :77
59 :80
60 :80
61 :79
62 :76
63 :80
64 :80
65 :75
66 :80
67 :79
68 :75
69 :77
70 :75
71 :80
72 :78
73 :75
74 :80
75 :75
76 :78
77 :80
78 :80
79 :80
80 :75
81 :75
82 :75
83 :75
84 :79
85 :80
86 :80
87 :80
88 :79
89 :80
90 :76
91 :75
92 :80
93 :80
94 :75
95 :80
96 :75
97 :80
98 :80
99 :80
100 :76
101 :80
102 :80
103 :76
104 :78
105 :75
106 :80
107 :80
108 :80
109 :75
110 :75
111 :75
112 :75
113 :80
114 :76
115 :80
116 :80
117 :80
118 :75
119 :80
120 :80
121 :79
122 :77
123 :78
124 :80
125 :77
126 :76
127 :75
