Resulting imbalance:1.02726
cutsize/#vertices:0.58323
Cutsize:8430
----------------------------
Part Weights:
0 :232
1 :222
2 :228
3 :228
4 :222
5 :228
6 :222
7 :228
8 :222
9 :228
10 :228
11 :228
12 :228
13 :228
14 :228
15 :222
16 :228
17 :228
18 :222
19 :222
20 :232
21 :228
22 :222
23 :222
24 :222
25 :222
26 :222
27 :222
28 :228
29 :222
30 :222
31 :222
32 :230
33 :222
34 :230
35 :230
36 :228
37 :222
38 :220
39 :220
40 :228
41 :228
42 :228
43 :222
44 :226
45 :220
46 :232
47 :228
48 :222
49 :228
50 :228
51 :222
52 :222
53 :222
54 :228
55 :228
56 :228
57 :228
58 :228
59 :228
60 :228
61 :232
62 :228
63 :232
