Resulting imbalance:1.02996
cutsize/#vertices:0.295783
Cutsize:10513
----------------------------
Part Weights:
0 :277
1 :284
2 :276
3 :276
4 :277
5 :283
6 :270
7 :271
8 :285
9 :270
10 :283
11 :281
12 :285
13 :280
14 :277
15 :277
16 :278
17 :278
18 :286
19 :277
20 :277
21 :271
22 :279
23 :281
24 :271
25 :276
26 :277
27 :285
28 :283
29 :278
30 :280
31 :285
32 :279
33 :279
34 :276
35 :276
36 :279
37 :277
38 :278
39 :280
40 :272
41 :282
42 :280
43 :273
44 :281
45 :269
46 :270
47 :273
48 :285
49 :272
50 :277
51 :275
52 :275
53 :283
54 :274
55 :279
56 :272
57 :271
58 :279
59 :282
60 :276
61 :286
62 :282
63 :280
64 :282
65 :281
66 :284
67 :284
68 :275
69 :278
70 :283
71 :275
72 :276
73 :272
74 :278
75 :285
76 :274
77 :270
78 :274
79 :282
80 :285
81 :276
82 :282
83 :281
84 :277
85 :270
86 :282
87 :278
88 :283
89 :272
90 :270
91 :277
92 :284
93 :273
94 :270
95 :279
96 :279
97 :284
98 :283
99 :284
100 :278
101 :270
102 :270
103 :280
104 :273
105 :280
106 :271
107 :271
108 :271
109 :281
110 :275
111 :280
112 :269
113 :270
114 :274
115 :275
116 :285
117 :285
118 :275
119 :273
120 :277
121 :277
122 :280
123 :279
124 :279
125 :278
126 :274
127 :285
