Resulting imbalance:1.02898
cutsize/#vertices:0.0346579
Cutsize:1399
----------------------------
Part Weights:
0 :618
1 :626
2 :626
3 :641
4 :613
5 :620
6 :649
7 :649
8 :614
9 :642
10 :638
11 :641
12 :625
13 :638
14 :613
15 :641
16 :628
17 :624
18 :646
19 :624
20 :642
21 :634
22 :628
23 :623
24 :635
25 :629
26 :622
27 :646
28 :638
29 :630
30 :619
31 :620
32 :649
33 :634
34 :620
35 :620
36 :648
37 :613
38 :612
39 :613
40 :648
41 :641
42 :643
43 :645
44 :649
45 :621
46 :642
47 :615
48 :626
49 :635
50 :648
51 :627
52 :615
53 :613
54 :639
55 :640
56 :636
57 :617
58 :648
59 :640
60 :634
61 :612
62 :613
63 :628
