Resulting imbalance:1.02846
cutsize/#vertices:0.970539
Cutsize:11596
----------------------------
Part Weights:
0 :96
1 :93
2 :94
3 :90
4 :90
5 :91
6 :90
7 :94
8 :92
9 :91
10 :96
11 :90
12 :96
13 :96
14 :93
15 :96
16 :96
17 :94
18 :96
19 :90
20 :93
21 :95
22 :93
23 :94
24 :96
25 :90
26 :94
27 :91
28 :96
29 :96
30 :96
31 :96
32 :88
33 :94
34 :96
35 :94
36 :96
37 :90
38 :91
39 :96
40 :91
41 :96
42 :96
43 :91
44 :90
45 :93
46 :92
47 :90
48 :91
49 :95
50 :96
51 :94
52 :95
53 :96
54 :90
55 :90
56 :91
57 :92
58 :96
59 :90
60 :90
61 :91
62 :90
63 :96
64 :94
65 :96
66 :90
67 :93
68 :90
69 :93
70 :95
71 :90
72 :94
73 :90
74 :96
75 :93
76 :90
77 :90
78 :96
79 :96
80 :96
81 :89
82 :95
83 :95
84 :96
85 :96
86 :91
87 :92
88 :91
89 :95
90 :96
91 :94
92 :93
93 :96
94 :94
95 :96
96 :95
97 :96
98 :92
99 :92
100 :93
101 :93
102 :90
103 :92
104 :96
105 :95
106 :89
107 :96
108 :96
109 :94
110 :96
111 :95
112 :96
113 :95
114 :96
115 :96
116 :95
117 :93
118 :90
119 :96
120 :91
121 :94
122 :95
123 :91
124 :90
125 :96
126 :91
127 :91
