Resulting imbalance:1.02813
cutsize/#vertices:0.353953
Cutsize:10620
----------------------------
Part Weights:
0 :240
1 :234
2 :228
3 :228
4 :237
5 :228
6 :240
7 :228
8 :228
9 :231
10 :228
11 :231
12 :240
13 :234
14 :240
15 :234
16 :240
17 :231
18 :240
19 :228
20 :231
21 :234
22 :234
23 :231
24 :228
25 :228
26 :234
27 :231
28 :240
29 :228
30 :234
31 :240
32 :228
33 :228
34 :228
35 :228
36 :240
37 :231
38 :240
39 :240
40 :240
41 :237
42 :231
43 :228
44 :240
45 :240
46 :228
47 :228
48 :228
49 :234
50 :237
51 :234
52 :228
53 :234
54 :228
55 :237
56 :237
57 :234
58 :237
59 :228
60 :228
61 :231
62 :231
63 :234
64 :237
65 :237
66 :237
67 :234
68 :231
69 :234
70 :228
71 :240
72 :240
73 :237
74 :234
75 :241
76 :237
77 :231
78 :240
79 :240
80 :240
81 :234
82 :231
83 :234
84 :240
85 :237
86 :240
87 :240
88 :240
89 :237
90 :240
91 :231
92 :240
93 :240
94 :237
95 :240
96 :231
97 :240
98 :234
99 :228
100 :240
101 :237
102 :234
103 :237
104 :240
105 :228
106 :240
107 :237
108 :231
109 :240
110 :240
111 :228
112 :237
113 :234
114 :228
115 :228
116 :228
117 :228
118 :240
119 :228
120 :240
121 :237
122 :240
123 :240
124 :234
125 :231
126 :240
127 :231
