Resulting imbalance:1.02813
cutsize/#vertices:0.335822
Cutsize:10076
----------------------------
Part Weights:
0 :471
1 :468
2 :468
3 :477
4 :474
5 :459
6 :474
7 :459
8 :456
9 :465
10 :474
11 :462
12 :474
13 :471
14 :477
15 :477
16 :459
17 :468
18 :477
19 :459
20 :456
21 :459
22 :468
23 :482
24 :465
25 :462
26 :459
27 :480
28 :474
29 :480
30 :480
31 :471
32 :468
33 :459
34 :474
35 :474
36 :477
37 :477
38 :477
39 :474
40 :465
41 :456
42 :480
43 :468
44 :462
45 :462
46 :465
47 :459
48 :465
49 :459
50 :465
51 :462
52 :471
53 :471
54 :474
55 :471
56 :459
57 :482
58 :474
59 :474
60 :456
61 :474
62 :477
63 :468
