Resulting imbalance:1.02816
cutsize/#vertices:0.428024
Cutsize:12842
----------------------------
Part Weights:
0 :228
1 :227
2 :240
3 :237
4 :234
5 :237
6 :237
7 :231
8 :234
9 :234
10 :237
11 :234
12 :228
13 :240
14 :237
15 :234
16 :237
17 :237
18 :231
19 :234
20 :237
21 :237
22 :240
23 :225
24 :237
25 :237
26 :234
27 :231
28 :237
29 :234
30 :237
31 :234
32 :239
33 :234
34 :240
35 :231
36 :234
37 :237
38 :234
39 :237
40 :237
41 :240
42 :228
43 :240
44 :237
45 :240
46 :231
47 :237
48 :237
49 :237
50 :228
51 :234
52 :231
53 :234
54 :231
55 :240
56 :237
57 :234
58 :240
59 :234
60 :231
61 :231
62 :231
63 :231
64 :240
65 :237
66 :233
67 :231
68 :231
69 :234
70 :228
71 :237
72 :237
73 :234
74 :237
75 :240
76 :240
77 :234
78 :231
79 :241
80 :231
81 :237
82 :231
83 :234
84 :240
85 :231
86 :231
87 :234
88 :231
89 :231
90 :234
91 :234
92 :231
93 :240
94 :231
95 :228
96 :237
97 :234
98 :234
99 :240
100 :228
101 :237
102 :237
103 :237
104 :238
105 :234
106 :240
107 :231
108 :237
109 :237
110 :234
111 :231
112 :241
113 :231
114 :228
115 :231
116 :225
117 :231
118 :240
119 :234
120 :231
121 :231
122 :234
123 :231
124 :228
125 :229
126 :236
127 :237
