Resulting imbalance:1.02816
cutsize/#vertices:0.501883
Cutsize:15058
----------------------------
Part Weights:
0 :467
1 :466
2 :467
3 :473
4 :475
5 :465
6 :466
7 :482
8 :482
9 :474
10 :468
11 :462
12 :464
13 :475
14 :473
15 :463
16 :477
17 :477
18 :480
19 :482
20 :458
21 :455
22 :469
23 :457
24 :467
25 :465
26 :479
27 :467
28 :479
29 :460
30 :482
31 :470
32 :482
33 :469
34 :461
35 :482
36 :465
37 :482
38 :463
39 :470
40 :465
41 :471
42 :472
43 :456
44 :469
45 :455
46 :457
47 :476
48 :466
49 :466
50 :455
51 :472
52 :456
53 :478
54 :482
55 :468
56 :457
57 :467
58 :462
59 :461
60 :482
61 :455
62 :480
63 :455
