Resulting imbalance:1.01008
cutsize/#vertices:2.60302
Cutsize:11875
----------------------------
Part Weights:
0 :36
1 :36
2 :36
3 :36
4 :36
5 :36
6 :36
7 :36
8 :34
9 :36
10 :36
11 :36
12 :36
13 :36
14 :36
15 :36
16 :36
17 :36
18 :36
19 :34
20 :35
21 :36
22 :36
23 :35
24 :36
25 :36
26 :36
27 :36
28 :36
29 :36
30 :36
31 :36
32 :35
33 :36
34 :36
35 :36
36 :36
37 :36
38 :36
39 :36
40 :36
41 :35
42 :36
43 :35
44 :36
45 :36
46 :36
47 :36
48 :36
49 :36
50 :34
51 :34
52 :36
53 :36
54 :34
55 :36
56 :35
57 :36
58 :36
59 :36
60 :36
61 :36
62 :36
63 :36
64 :36
65 :36
66 :36
67 :36
68 :34
69 :34
70 :36
71 :36
72 :36
73 :35
74 :36
75 :36
76 :35
77 :36
78 :36
79 :35
80 :36
81 :36
82 :34
83 :36
84 :35
85 :36
86 :36
87 :35
88 :34
89 :35
90 :36
91 :35
92 :36
93 :36
94 :36
95 :36
96 :36
97 :36
98 :36
99 :36
100 :36
101 :36
102 :36
103 :36
104 :34
105 :36
106 :34
107 :34
108 :36
109 :34
110 :36
111 :36
112 :36
113 :36
114 :36
115 :36
116 :34
117 :34
118 :36
119 :36
120 :36
121 :36
122 :36
123 :36
124 :34
125 :35
126 :36
127 :36
