Resulting imbalance:1.02411
cutsize/#vertices:4.72797
Cutsize:21569
----------------------------
Part Weights:
0 :73
1 :71
2 :70
3 :73
4 :69
5 :73
6 :73
7 :71
8 :73
9 :73
10 :72
11 :69
12 :73
13 :73
14 :73
15 :70
16 :72
17 :69
18 :73
19 :69
20 :69
21 :70
22 :69
23 :73
24 :73
25 :72
26 :69
27 :73
28 :69
29 :69
30 :70
31 :69
32 :70
33 :69
34 :71
35 :73
36 :73
37 :73
38 :69
39 :73
40 :72
41 :70
42 :69
43 :71
44 :69
45 :72
46 :69
47 :73
48 :73
49 :73
50 :73
51 :73
52 :73
53 :73
54 :73
55 :69
56 :69
57 :69
58 :72
59 :70
60 :73
61 :72
62 :73
63 :71
