Resulting imbalance:1.02766
cutsize/#vertices:0.879886
Cutsize:15398
----------------------------
Part Weights:
0 :281
1 :265
2 :272
3 :272
4 :281
5 :268
6 :281
7 :271
8 :266
9 :278
10 :265
11 :274
12 :265
13 :281
14 :271
15 :272
16 :281
17 :265
18 :265
19 :265
20 :265
21 :270
22 :265
23 :265
24 :280
25 :281
26 :265
27 :281
28 :265
29 :281
30 :266
31 :281
32 :264
33 :281
34 :280
35 :281
36 :281
37 :265
38 :275
39 :265
40 :277
41 :280
42 :281
43 :267
44 :281
45 :281
46 :268
47 :281
48 :265
49 :276
50 :275
51 :265
52 :277
53 :277
54 :281
55 :279
56 :281
57 :281
58 :266
59 :266
60 :281
61 :279
62 :274
63 :265
