Resulting imbalance:1.0262
cutsize/#vertices:0.480935
Cutsize:4919
----------------------------
Part Weights:
0 :77
1 :79
2 :79
3 :81
4 :82
5 :79
6 :78
7 :82
8 :77
9 :79
10 :79
11 :81
12 :80
13 :80
14 :81
15 :82
16 :79
17 :77
18 :82
19 :82
20 :79
21 :77
22 :77
23 :80
24 :79
25 :80
26 :77
27 :82
28 :79
29 :79
30 :81
31 :82
32 :80
33 :82
34 :77
35 :82
36 :77
37 :79
38 :77
39 :82
40 :81
41 :79
42 :82
43 :80
44 :77
45 :80
46 :82
47 :82
48 :78
49 :81
50 :80
51 :82
52 :80
53 :81
54 :81
55 :82
56 :80
57 :80
58 :77
59 :77
60 :81
61 :79
62 :80
63 :80
64 :80
65 :80
66 :81
67 :80
68 :80
69 :77
70 :79
71 :82
72 :81
73 :79
74 :77
75 :79
76 :77
77 :82
78 :80
79 :82
80 :80
81 :79
82 :81
83 :82
84 :81
85 :81
86 :81
87 :81
88 :82
89 :82
90 :79
91 :81
92 :80
93 :77
94 :80
95 :77
96 :81
97 :77
98 :77
99 :82
100 :82
101 :81
102 :82
103 :81
104 :77
105 :80
106 :82
107 :81
108 :80
109 :80
110 :80
111 :80
112 :80
113 :78
114 :81
115 :79
116 :82
117 :77
118 :82
119 :81
120 :77
121 :82
122 :80
123 :80
124 :81
125 :81
126 :79
127 :79
