Resulting imbalance:1.02053
cutsize/#vertices:3.26794
Cutsize:38529
----------------------------
Part Weights:
0 :89
1 :94
2 :89
3 :93
4 :93
5 :89
6 :94
7 :89
8 :89
9 :94
10 :92
11 :94
12 :94
13 :89
14 :93
15 :89
16 :93
17 :94
18 :92
19 :92
20 :94
21 :93
22 :94
23 :89
24 :94
25 :89
26 :94
27 :89
28 :90
29 :90
30 :94
31 :94
32 :94
33 :94
34 :92
35 :89
36 :92
37 :93
38 :94
39 :94
40 :94
41 :89
42 :94
43 :92
44 :89
45 :94
46 :94
47 :89
48 :94
49 :94
50 :94
51 :92
52 :94
53 :94
54 :94
55 :94
56 :94
57 :92
58 :94
59 :93
60 :94
61 :89
62 :94
63 :94
64 :89
65 :90
66 :94
67 :93
68 :93
69 :93
70 :88
71 :92
72 :94
73 :92
74 :90
75 :94
76 :94
77 :94
78 :94
79 :89
80 :89
81 :94
82 :89
83 :94
84 :89
85 :94
86 :94
87 :89
88 :94
89 :94
90 :94
91 :89
92 :94
93 :90
94 :89
95 :94
96 :92
97 :89
98 :94
99 :93
100 :94
101 :89
102 :92
103 :94
104 :94
105 :89
106 :89
107 :89
108 :89
109 :94
110 :94
111 :94
112 :91
113 :89
114 :94
115 :89
116 :89
117 :94
118 :89
119 :89
120 :90
121 :90
122 :94
123 :94
124 :94
125 :94
126 :94
127 :94
