Resulting imbalance:1.02053
cutsize/#vertices:1.81255
Cutsize:21370
----------------------------
Part Weights:
0 :94
1 :94
2 :89
3 :89
4 :90
5 :89
6 :93
7 :94
8 :94
9 :94
10 :89
11 :94
12 :91
13 :89
14 :90
15 :89
16 :89
17 :91
18 :89
19 :93
20 :89
21 :90
22 :89
23 :94
24 :93
25 :90
26 :89
27 :94
28 :94
29 :94
30 :89
31 :93
32 :89
33 :93
34 :89
35 :93
36 :94
37 :94
38 :94
39 :94
40 :94
41 :94
42 :94
43 :94
44 :91
45 :94
46 :94
47 :86
48 :94
49 :90
50 :90
51 :94
52 :90
53 :94
54 :94
55 :94
56 :90
57 :94
58 :94
59 :91
60 :89
61 :94
62 :94
63 :94
64 :94
65 :94
66 :89
67 :93
68 :91
69 :88
70 :89
71 :91
72 :94
73 :94
74 :91
75 :94
76 :93
77 :94
78 :94
79 :93
80 :92
81 :94
82 :93
83 :94
84 :93
85 :89
86 :91
87 :86
88 :94
89 :94
90 :93
91 :94
92 :94
93 :94
94 :94
95 :94
96 :94
97 :89
98 :94
99 :91
100 :94
101 :89
102 :94
103 :92
104 :92
105 :87
106 :89
107 :94
108 :94
109 :94
110 :89
111 :93
112 :94
113 :89
114 :94
115 :94
116 :94
117 :94
118 :89
119 :85
120 :94
121 :94
122 :94
123 :93
124 :94
125 :94
126 :89
127 :94
