Resulting imbalance:1.02187
cutsize/#vertices:1.24858
Cutsize:11417
----------------------------
Part Weights:
0 :69
1 :73
2 :69
3 :71
4 :71
5 :70
6 :71
7 :69
8 :73
9 :69
10 :73
11 :73
12 :71
13 :73
14 :72
15 :73
16 :70
17 :73
18 :71
19 :70
20 :69
21 :69
22 :73
23 :69
24 :71
25 :73
26 :73
27 :73
28 :73
29 :69
30 :73
31 :73
32 :71
33 :69
34 :73
35 :73
36 :70
37 :73
38 :70
39 :73
40 :69
41 :73
42 :72
43 :73
44 :73
45 :73
46 :73
47 :73
48 :72
49 :73
50 :71
51 :72
52 :69
53 :72
54 :69
55 :69
56 :69
57 :69
58 :73
59 :72
60 :72
61 :73
62 :73
63 :73
64 :71
65 :69
66 :73
67 :73
68 :69
69 :73
70 :73
71 :72
72 :72
73 :69
74 :70
75 :70
76 :71
77 :70
78 :72
79 :69
80 :71
81 :73
82 :69
83 :72
84 :70
85 :73
86 :73
87 :73
88 :71
89 :73
90 :72
91 :73
92 :73
93 :72
94 :69
95 :73
96 :73
97 :73
98 :72
99 :69
100 :73
101 :70
102 :73
103 :71
104 :71
105 :73
106 :73
107 :73
108 :69
109 :72
110 :69
111 :71
112 :71
113 :69
114 :73
115 :73
116 :73
117 :72
118 :69
119 :70
120 :71
121 :73
122 :69
123 :70
124 :73
125 :69
126 :71
127 :73
