Resulting imbalance:1.02455
cutsize/#vertices:1.47206
Cutsize:30345
----------------------------
Part Weights:
0 :165
1 :156
2 :156
3 :156
4 :162
5 :165
6 :156
7 :163
8 :165
9 :159
10 :165
11 :156
12 :165
13 :161
14 :161
15 :162
16 :156
17 :165
18 :161
19 :158
20 :156
21 :156
22 :156
23 :156
24 :165
25 :163
26 :165
27 :165
28 :165
29 :157
30 :165
31 :163
32 :163
33 :156
34 :156
35 :155
36 :164
37 :159
38 :156
39 :165
40 :165
41 :165
42 :165
43 :160
44 :165
45 :161
46 :165
47 :158
48 :156
49 :156
50 :156
51 :156
52 :165
53 :165
54 :156
55 :165
56 :156
57 :156
58 :165
59 :165
60 :165
61 :165
62 :156
63 :165
64 :156
65 :165
66 :156
67 :156
68 :165
69 :163
70 :157
71 :165
72 :155
73 :155
74 :156
75 :165
76 :159
77 :165
78 :164
79 :156
80 :165
81 :161
82 :163
83 :156
84 :165
85 :156
86 :163
87 :161
88 :156
89 :162
90 :156
91 :165
92 :162
93 :160
94 :157
95 :156
96 :165
97 :163
98 :165
99 :165
100 :156
101 :156
102 :165
103 :165
104 :165
105 :165
106 :159
107 :157
108 :165
109 :165
110 :165
111 :165
112 :165
113 :165
114 :165
115 :165
116 :156
117 :156
118 :165
119 :165
120 :165
121 :160
122 :161
123 :165
124 :156
125 :165
126 :156
127 :165
