Resulting imbalance:1.02972
cutsize/#vertices:0.0339886
Cutsize:1371
----------------------------
Part Weights:
0 :627
1 :618
2 :612
3 :641
4 :637
5 :648
6 :620
7 :612
8 :638
9 :630
10 :640
11 :623
12 :644
13 :621
14 :641
15 :633
16 :628
17 :648
18 :636
19 :644
20 :634
21 :615
22 :614
23 :637
24 :635
25 :617
26 :620
27 :623
28 :630
29 :638
30 :642
31 :621
32 :641
33 :638
34 :638
35 :612
36 :624
37 :628
38 :647
39 :639
40 :617
41 :611
42 :643
43 :614
44 :613
45 :635
46 :647
47 :641
48 :643
49 :635
50 :644
51 :634
52 :618
53 :644
54 :615
55 :626
56 :649
57 :621
58 :621
59 :622
60 :639
61 :639
62 :613
63 :619
