Resulting imbalance:1.01333
cutsize/#vertices:0.956667
Cutsize:4592
----------------------------
Part Weights:
0 :38
1 :38
2 :38
3 :38
4 :37
5 :38
6 :38
7 :38
8 :37
9 :37
10 :37
11 :38
12 :37
13 :38
14 :37
15 :38
16 :36
17 :37
18 :38
19 :37
20 :37
21 :36
22 :38
23 :38
24 :38
25 :36
26 :38
27 :38
28 :38
29 :37
30 :38
31 :38
32 :38
33 :38
34 :38
35 :38
36 :38
37 :37
38 :38
39 :37
40 :38
41 :36
42 :38
43 :38
44 :37
45 :37
46 :37
47 :38
48 :37
49 :38
50 :38
51 :37
52 :36
53 :38
54 :38
55 :38
56 :37
57 :38
58 :36
59 :38
60 :38
61 :38
62 :37
63 :37
64 :37
65 :38
66 :37
67 :38
68 :37
69 :37
70 :37
71 :38
72 :38
73 :37
74 :37
75 :37
76 :38
77 :37
78 :38
79 :37
80 :37
81 :37
82 :38
83 :37
84 :38
85 :38
86 :38
87 :36
88 :37
89 :38
90 :38
91 :38
92 :38
93 :38
94 :38
95 :38
96 :37
97 :38
98 :37
99 :38
100 :37
101 :37
102 :38
103 :37
104 :38
105 :38
106 :38
107 :38
108 :37
109 :37
110 :38
111 :37
112 :37
113 :38
114 :37
115 :38
116 :37
117 :37
118 :38
119 :37
120 :37
121 :38
122 :38
123 :38
124 :37
125 :37
126 :38
127 :38
