Resulting imbalance:1.01136
cutsize/#vertices:12.3951
Cutsize:25100
----------------------------
Part Weights:
0 :31
1 :30
2 :31
3 :32
4 :32
5 :32
6 :32
7 :32
8 :32
9 :32
10 :31
11 :32
12 :31
13 :32
14 :31
15 :30
16 :32
17 :32
18 :32
19 :30
20 :32
21 :31
22 :32
23 :32
24 :30
25 :32
26 :32
27 :32
28 :32
29 :32
30 :32
31 :32
32 :32
33 :32
34 :32
35 :32
36 :32
37 :32
38 :30
39 :32
40 :30
41 :32
42 :32
43 :32
44 :32
45 :32
46 :32
47 :32
48 :29
49 :32
50 :32
51 :32
52 :32
53 :32
54 :30
55 :32
56 :32
57 :32
58 :32
59 :32
60 :32
61 :32
62 :32
63 :32
