Resulting imbalance:1.02535
cutsize/#vertices:0.474016
Cutsize:5947
----------------------------
Part Weights:
0 :200
1 :191
2 :190
3 :197
4 :199
5 :190
6 :192
7 :196
8 :198
9 :200
10 :196
11 :199
12 :198
13 :193
14 :194
15 :198
16 :198
17 :199
18 :193
19 :194
20 :198
21 :197
22 :201
23 :192
24 :201
25 :201
26 :201
27 :201
28 :201
29 :198
30 :195
31 :196
32 :197
33 :193
34 :195
35 :199
36 :199
37 :197
38 :193
39 :190
40 :197
41 :200
42 :199
43 :195
44 :191
45 :192
46 :196
47 :192
48 :198
49 :197
50 :200
51 :197
52 :198
53 :192
54 :191
55 :197
56 :194
57 :198
58 :190
59 :191
60 :197
61 :196
62 :197
63 :191
