Resulting imbalance:1.02593
cutsize/#vertices:0.85554
Cutsize:9073
----------------------------
Part Weights:
0 :84
1 :83
2 :80
3 :85
4 :85
5 :82
6 :83
7 :82
8 :82
9 :83
10 :85
11 :83
12 :82
13 :83
14 :80
15 :82
16 :81
17 :83
18 :81
19 :84
20 :84
21 :82
22 :82
23 :83
24 :84
25 :83
26 :85
27 :82
28 :84
29 :84
30 :85
31 :80
32 :80
33 :85
34 :80
35 :81
36 :84
37 :85
38 :84
39 :80
40 :83
41 :84
42 :84
43 :82
44 :84
45 :84
46 :84
47 :80
48 :85
49 :83
50 :82
51 :81
52 :82
53 :84
54 :80
55 :84
56 :84
57 :80
58 :84
59 :84
60 :84
61 :84
62 :80
63 :84
64 :80
65 :82
66 :80
67 :82
68 :82
69 :84
70 :84
71 :85
72 :84
73 :80
74 :84
75 :84
76 :80
77 :84
78 :84
79 :84
80 :81
81 :80
82 :83
83 :85
84 :84
85 :83
86 :81
87 :85
88 :80
89 :80
90 :83
91 :83
92 :85
93 :85
94 :85
95 :84
96 :84
97 :82
98 :85
99 :85
100 :81
101 :81
102 :84
103 :84
104 :82
105 :83
106 :84
107 :82
108 :85
109 :76
110 :83
111 :83
112 :85
113 :85
114 :85
115 :82
116 :82
117 :82
118 :85
119 :82
120 :83
121 :82
122 :85
123 :81
124 :84
125 :80
126 :84
127 :84
