Resulting imbalance:1.024
cutsize/#vertices:0.2177
Cutsize:4354
----------------------------
Part Weights:
0 :154
1 :156
2 :156
3 :156
4 :158
5 :160
6 :154
7 :152
8 :156
9 :154
10 :152
11 :158
12 :158
13 :158
14 :158
15 :158
16 :154
17 :156
18 :158
19 :158
20 :158
21 :158
22 :158
23 :154
24 :158
25 :158
26 :158
27 :158
28 :158
29 :158
30 :158
31 :158
32 :158
33 :158
34 :152
35 :154
36 :158
37 :156
38 :158
39 :156
40 :154
41 :154
42 :160
43 :154
44 :156
45 :158
46 :156
47 :154
48 :152
49 :158
50 :158
51 :152
52 :154
53 :156
54 :158
55 :154
56 :158
57 :160
58 :151
59 :157
60 :156
61 :156
62 :152
63 :156
64 :158
65 :156
66 :160
67 :158
68 :158
69 :158
70 :152
71 :154
72 :158
73 :158
74 :152
75 :152
76 :152
77 :158
78 :158
79 :156
80 :152
81 :160
82 :156
83 :154
84 :156
85 :154
86 :158
87 :152
88 :160
89 :160
90 :158
91 :152
92 :160
93 :154
94 :158
95 :158
96 :158
97 :152
98 :160
99 :158
100 :152
101 :158
102 :156
103 :158
104 :156
105 :158
106 :156
107 :152
108 :158
109 :154
110 :158
111 :156
112 :156
113 :154
114 :158
115 :158
116 :156
117 :158
118 :158
119 :158
120 :153
121 :152
122 :151
123 :156
124 :158
125 :158
126 :158
127 :158
