Resulting imbalance:1.024
cutsize/#vertices:0.2063
Cutsize:4126
----------------------------
Part Weights:
0 :158
1 :158
2 :158
3 :152
4 :156
5 :158
6 :156
7 :156
8 :154
9 :152
10 :158
11 :158
12 :158
13 :160
14 :160
15 :158
16 :152
17 :154
18 :151
19 :153
20 :156
21 :158
22 :160
23 :158
24 :156
25 :158
26 :158
27 :158
28 :156
29 :158
30 :158
31 :158
32 :156
33 :158
34 :152
35 :156
36 :154
37 :158
38 :158
39 :156
40 :154
41 :156
42 :158
43 :152
44 :152
45 :158
46 :158
47 :158
48 :158
49 :160
50 :158
51 :154
52 :154
53 :158
54 :156
55 :152
56 :158
57 :158
58 :152
59 :152
60 :151
61 :155
62 :156
63 :158
64 :158
65 :156
66 :158
67 :156
68 :154
69 :156
70 :158
71 :160
72 :158
73 :160
74 :154
75 :154
76 :154
77 :154
78 :154
79 :152
80 :160
81 :158
82 :152
83 :152
84 :152
85 :152
86 :158
87 :156
88 :158
89 :158
90 :158
91 :156
92 :158
93 :158
94 :158
95 :158
96 :158
97 :152
98 :160
99 :154
100 :160
101 :156
102 :158
103 :160
104 :152
105 :154
106 :158
107 :156
108 :156
109 :158
110 :154
111 :158
112 :158
113 :158
114 :152
115 :158
116 :156
117 :158
118 :154
119 :156
120 :152
121 :158
122 :154
123 :158
124 :158
125 :158
126 :158
127 :156
