Resulting imbalance:1.02788
cutsize/#vertices:0.984481
Cutsize:10911
----------------------------
Part Weights:
0 :85
1 :88
2 :84
3 :89
4 :89
5 :84
6 :87
7 :89
8 :84
9 :84
10 :85
11 :89
12 :89
13 :88
14 :88
15 :89
16 :85
17 :87
18 :84
19 :84
20 :87
21 :84
22 :84
23 :89
24 :86
25 :84
26 :89
27 :85
28 :89
29 :84
30 :84
31 :84
32 :84
33 :84
34 :86
35 :87
36 :89
37 :87
38 :89
39 :85
40 :84
41 :89
42 :84
43 :88
44 :89
45 :87
46 :89
47 :84
48 :89
49 :86
50 :84
51 :86
52 :84
53 :86
54 :89
55 :85
56 :85
57 :86
58 :89
59 :89
60 :89
61 :88
62 :84
63 :87
64 :89
65 :85
66 :84
67 :89
68 :89
69 :87
70 :89
71 :85
72 :84
73 :89
74 :86
75 :84
76 :84
77 :88
78 :89
79 :85
80 :84
81 :84
82 :84
83 :84
84 :89
85 :87
86 :89
87 :89
88 :86
89 :85
90 :85
91 :86
92 :87
93 :89
94 :87
95 :86
96 :88
97 :84
98 :84
99 :84
100 :89
101 :88
102 :84
103 :88
104 :85
105 :89
106 :89
107 :88
108 :84
109 :88
110 :86
111 :84
112 :89
113 :89
114 :87
115 :89
116 :89
117 :84
118 :89
119 :89
120 :88
121 :89
122 :84
123 :89
124 :88
125 :88
126 :86
127 :86
