Resulting imbalance:1.02788
cutsize/#vertices:0.815122
Cutsize:9034
----------------------------
Part Weights:
0 :176
1 :177
2 :171
3 :169
4 :168
5 :170
6 :173
7 :178
8 :174
9 :173
10 :170
11 :168
12 :168
13 :169
14 :176
15 :168
16 :174
17 :171
18 :176
19 :178
20 :168
21 :168
22 :173
23 :178
24 :176
25 :177
26 :175
27 :178
28 :177
29 :174
30 :168
31 :168
32 :178
33 :170
34 :178
35 :178
36 :176
37 :176
38 :173
39 :171
40 :168
41 :168
42 :177
43 :168
44 :169
45 :178
46 :178
47 :176
48 :170
49 :171
50 :178
51 :173
52 :168
53 :176
54 :173
55 :174
56 :177
57 :176
58 :175
59 :178
60 :168
61 :173
62 :175
63 :169
