Resulting imbalance:1.02801
cutsize/#vertices:1.31232
Cutsize:13072
----------------------------
Part Weights:
0 :151
1 :160
2 :153
3 :159
4 :160
5 :160
6 :151
7 :153
8 :151
9 :151
10 :151
11 :158
12 :151
13 :151
14 :160
15 :154
16 :160
17 :160
18 :160
19 :160
20 :153
21 :160
22 :160
23 :160
24 :160
25 :153
26 :160
27 :157
28 :151
29 :151
30 :153
31 :156
32 :160
33 :160
34 :160
35 :151
36 :160
37 :160
38 :160
39 :153
40 :153
41 :152
42 :151
43 :159
44 :155
45 :152
46 :151
47 :151
48 :155
49 :157
50 :157
51 :151
52 :159
53 :151
54 :160
55 :155
56 :151
57 :151
58 :160
59 :155
60 :152
61 :151
62 :160
63 :160
