Resulting imbalance:1.02726
cutsize/#vertices:1.81258
Cutsize:26199
----------------------------
Part Weights:
0 :225
1 :232
2 :230
3 :224
4 :219
5 :231
6 :229
7 :227
8 :232
9 :225
10 :227
11 :224
12 :228
13 :228
14 :229
15 :225
16 :222
17 :223
18 :219
19 :220
20 :225
21 :225
22 :222
23 :227
24 :232
25 :224
26 :221
27 :231
28 :227
29 :229
30 :222
31 :223
32 :226
33 :227
34 :232
35 :223
36 :229
37 :227
38 :227
39 :229
40 :229
41 :226
42 :232
43 :225
44 :220
45 :222
46 :221
47 :229
48 :221
49 :228
50 :224
51 :223
52 :225
53 :223
54 :222
55 :223
56 :226
57 :221
58 :224
59 :223
60 :230
61 :228
62 :230
63 :232
