Resulting imbalance:1.02816
cutsize/#vertices:0.122696
Cutsize:4361
----------------------------
Part Weights:
0 :558
1 :551
2 :557
3 :557
4 :559
5 :561
6 :551
7 :554
8 :555
9 :552
10 :554
11 :555
12 :542
13 :554
14 :550
15 :555
16 :553
17 :553
18 :563
19 :558
20 :549
21 :542
22 :557
23 :551
24 :562
25 :559
26 :566
27 :551
28 :564
29 :559
30 :558
31 :563
32 :560
33 :549
34 :557
35 :552
36 :558
37 :558
38 :560
39 :560
40 :571
41 :540
42 :545
43 :547
44 :547
45 :547
46 :552
47 :547
48 :554
49 :555
50 :554
51 :557
52 :555
53 :560
54 :555
55 :561
56 :562
57 :564
58 :548
59 :560
60 :564
61 :555
62 :556
63 :560
