Resulting imbalance:1.0274
cutsize/#vertices:0.0517762
Cutsize:2090
----------------------------
Part Weights:
0 :321
1 :315
2 :309
3 :316
4 :319
5 :307
6 :324
7 :307
8 :313
9 :308
10 :318
11 :310
12 :321
13 :312
14 :308
15 :307
16 :323
17 :307
18 :313
19 :324
20 :308
21 :312
22 :310
23 :314
24 :318
25 :317
26 :319
27 :324
28 :323
29 :315
30 :322
31 :308
32 :323
33 :312
34 :322
35 :308
36 :311
37 :312
38 :309
39 :315
40 :324
41 :322
42 :324
43 :322
44 :306
45 :308
46 :309
47 :314
48 :324
49 :324
50 :307
51 :308
52 :315
53 :309
54 :321
55 :314
56 :324
57 :311
58 :322
59 :324
60 :314
61 :323
62 :324
63 :306
64 :310
65 :319
66 :316
67 :321
68 :306
69 :322
70 :308
71 :315
72 :316
73 :323
74 :324
75 :308
76 :319
77 :306
78 :313
79 :320
80 :320
81 :319
82 :320
83 :307
84 :306
85 :317
86 :318
87 :318
88 :320
89 :316
90 :321
91 :306
92 :314
93 :309
94 :311
95 :323
96 :324
97 :309
98 :323
99 :309
100 :316
101 :324
102 :318
103 :308
104 :321
105 :317
106 :311
107 :310
108 :313
109 :311
110 :321
111 :312
112 :316
113 :317
114 :312
115 :324
116 :318
117 :315
118 :314
119 :317
120 :324
121 :310
122 :314
123 :317
124 :313
125 :308
126 :320
127 :306
