Resulting imbalance:1.02898
cutsize/#vertices:0.0414705
Cutsize:1674
----------------------------
Part Weights:
0 :614
1 :628
2 :628
3 :639
4 :620
5 :613
6 :648
7 :637
8 :635
9 :639
10 :647
11 :612
12 :621
13 :642
14 :613
15 :639
16 :629
17 :648
18 :638
19 :626
20 :612
21 :645
22 :636
23 :648
24 :617
25 :642
26 :632
27 :627
28 :615
29 :646
30 :630
31 :616
32 :648
33 :642
34 :635
35 :620
36 :635
37 :615
38 :633
39 :616
40 :648
41 :625
42 :646
43 :641
44 :649
45 :639
46 :618
47 :626
48 :649
49 :615
50 :618
51 :618
52 :626
53 :615
54 :612
55 :641
56 :612
57 :647
58 :649
59 :648
60 :622
61 :617
62 :613
63 :646
