Resulting imbalance:1.00507
cutsize/#vertices:8.25659
Cutsize:32597
----------------------------
Part Weights:
0 :31
1 :31
2 :31
3 :31
4 :31
5 :31
6 :29
7 :29
8 :31
9 :30
10 :31
11 :31
12 :31
13 :31
14 :31
15 :31
16 :30
17 :31
18 :30
19 :31
20 :31
21 :29
22 :31
23 :31
24 :31
25 :31
26 :31
27 :31
28 :31
29 :31
30 :31
31 :31
32 :31
33 :31
34 :31
35 :31
36 :31
37 :31
38 :31
39 :31
40 :31
41 :31
42 :31
43 :31
44 :29
45 :31
46 :31
47 :31
48 :31
49 :31
50 :31
51 :31
52 :31
53 :31
54 :31
55 :31
56 :31
57 :31
58 :31
59 :31
60 :29
61 :30
62 :31
63 :31
64 :31
65 :31
66 :31
67 :31
68 :31
69 :30
70 :31
71 :30
72 :31
73 :31
74 :31
75 :31
76 :29
77 :31
78 :31
79 :31
80 :31
81 :31
82 :30
83 :31
84 :31
85 :31
86 :31
87 :31
88 :31
89 :31
90 :31
91 :31
92 :31
93 :31
94 :31
95 :31
96 :31
97 :31
98 :31
99 :31
100 :31
101 :31
102 :31
103 :31
104 :30
105 :31
106 :31
107 :31
108 :31
109 :31
110 :31
111 :31
112 :31
113 :31
114 :31
115 :31
116 :31
117 :31
118 :31
119 :31
120 :31
121 :31
122 :31
123 :31
124 :31
125 :31
126 :31
127 :31
