Resulting imbalance:1.02846
cutsize/#vertices:0.645296
Cutsize:7710
----------------------------
Part Weights:
0 :185
1 :192
2 :181
3 :189
4 :192
5 :187
6 :186
7 :185
8 :181
9 :188
10 :186
11 :181
12 :185
13 :191
14 :189
15 :188
16 :181
17 :192
18 :190
19 :191
20 :189
21 :182
22 :185
23 :192
24 :190
25 :188
26 :188
27 :190
28 :192
29 :181
30 :185
31 :186
32 :190
33 :188
34 :181
35 :186
36 :192
37 :185
38 :182
39 :192
40 :189
41 :190
42 :189
43 :186
44 :186
45 :192
46 :191
47 :191
48 :182
49 :182
50 :184
51 :189
52 :192
53 :192
54 :181
55 :181
56 :188
57 :182
58 :181
59 :186
60 :181
61 :181
62 :182
63 :186
