Resulting imbalance:1.02816
cutsize/#vertices:0.524681
Cutsize:15742
----------------------------
Part Weights:
0 :237
1 :235
2 :227
3 :233
4 :241
5 :238
6 :238
7 :240
8 :238
9 :227
10 :231
11 :231
12 :241
13 :232
14 :232
15 :235
16 :241
17 :241
18 :238
19 :241
20 :241
21 :240
22 :241
23 :240
24 :230
25 :227
26 :241
27 :238
28 :233
29 :227
30 :241
31 :240
32 :231
33 :235
34 :240
35 :234
36 :227
37 :234
38 :228
39 :233
40 :237
41 :227
42 :241
43 :238
44 :237
45 :227
46 :239
47 :232
48 :241
49 :227
50 :239
51 :229
52 :241
53 :234
54 :231
55 :236
56 :227
57 :234
58 :229
59 :238
60 :240
61 :236
62 :231
63 :239
64 :228
65 :232
66 :231
67 :231
68 :228
69 :241
70 :231
71 :237
72 :227
73 :234
74 :238
75 :229
76 :241
77 :241
78 :237
79 :231
80 :241
81 :241
82 :228
83 :228
84 :227
85 :229
86 :232
87 :234
88 :241
89 :241
90 :230
91 :236
92 :227
93 :238
94 :226
95 :238
96 :231
97 :234
98 :227
99 :227
100 :240
101 :237
102 :241
103 :227
104 :238
105 :228
106 :241
107 :239
108 :240
109 :237
110 :234
111 :233
112 :227
113 :236
114 :240
115 :237
116 :237
117 :227
118 :236
119 :232
120 :229
121 :229
122 :239
123 :237
124 :227
125 :227
126 :241
127 :226
