Resulting imbalance:1.02684
cutsize/#vertices:1.33311
Cutsize:13959
----------------------------
Part Weights:
0 :79
1 :84
2 :84
3 :79
4 :84
5 :84
6 :84
7 :84
8 :79
9 :79
10 :84
11 :84
12 :82
13 :84
14 :84
15 :84
16 :81
17 :84
18 :84
19 :84
20 :84
21 :83
22 :79
23 :80
24 :78
25 :84
26 :81
27 :79
28 :84
29 :84
30 :84
31 :84
32 :80
33 :84
34 :83
35 :78
36 :83
37 :76
38 :84
39 :82
40 :79
41 :84
42 :82
43 :84
44 :84
45 :81
46 :79
47 :79
48 :79
49 :79
50 :80
51 :80
52 :84
53 :83
54 :84
55 :82
56 :81
57 :84
58 :84
59 :80
60 :84
61 :79
62 :84
63 :82
64 :83
65 :81
66 :79
67 :79
68 :84
69 :82
70 :84
71 :79
72 :79
73 :83
74 :81
75 :84
76 :81
77 :83
78 :74
79 :77
80 :82
81 :78
82 :81
83 :79
84 :82
85 :79
86 :84
87 :84
88 :80
89 :79
90 :84
91 :79
92 :84
93 :79
94 :82
95 :79
96 :78
97 :79
98 :82
99 :84
100 :83
101 :80
102 :82
103 :84
104 :83
105 :84
106 :80
107 :83
108 :84
109 :78
110 :84
111 :84
112 :84
113 :79
114 :84
115 :84
116 :81
117 :84
118 :84
119 :80
120 :83
121 :79
122 :84
123 :84
124 :79
125 :84
126 :84
127 :84
