Resulting imbalance:1.02411
cutsize/#vertices:1.41363
Cutsize:6449
----------------------------
Part Weights:
0 :72
1 :73
2 :72
3 :69
4 :69
5 :70
6 :69
7 :72
8 :69
9 :71
10 :69
11 :69
12 :73
13 :69
14 :69
15 :69
16 :73
17 :72
18 :73
19 :73
20 :71
21 :69
22 :69
23 :73
24 :73
25 :72
26 :73
27 :72
28 :73
29 :69
30 :73
31 :70
32 :72
33 :69
34 :71
35 :73
36 :73
37 :71
38 :69
39 :73
40 :69
41 :69
42 :72
43 :73
44 :70
45 :72
46 :69
47 :72
48 :71
49 :73
50 :73
51 :69
52 :73
53 :70
54 :73
55 :71
56 :73
57 :73
58 :73
59 :73
60 :73
61 :73
62 :73
63 :69
