Resulting imbalance:1.01008
cutsize/#vertices:7.05173
Cutsize:32170
----------------------------
Part Weights:
0 :34
1 :36
2 :35
3 :34
4 :34
5 :35
6 :36
7 :36
8 :36
9 :34
10 :36
11 :36
12 :36
13 :36
14 :36
15 :36
16 :36
17 :36
18 :36
19 :34
20 :35
21 :36
22 :34
23 :34
24 :36
25 :36
26 :36
27 :36
28 :36
29 :36
30 :36
31 :36
32 :36
33 :34
34 :36
35 :35
36 :35
37 :36
38 :35
39 :36
40 :36
41 :35
42 :36
43 :36
44 :34
45 :34
46 :35
47 :36
48 :36
49 :35
50 :36
51 :36
52 :36
53 :35
54 :36
55 :36
56 :36
57 :36
58 :36
59 :36
60 :36
61 :36
62 :36
63 :35
64 :36
65 :36
66 :36
67 :36
68 :36
69 :36
70 :36
71 :36
72 :36
73 :36
74 :36
75 :36
76 :36
77 :34
78 :36
79 :36
80 :36
81 :36
82 :36
83 :36
84 :36
85 :36
86 :34
87 :36
88 :34
89 :34
90 :36
91 :36
92 :35
93 :36
94 :36
95 :36
96 :36
97 :36
98 :36
99 :36
100 :36
101 :36
102 :34
103 :34
104 :36
105 :36
106 :35
107 :36
108 :35
109 :36
110 :36
111 :36
112 :36
113 :36
114 :36
115 :36
116 :36
117 :36
118 :36
119 :36
120 :36
121 :36
122 :36
123 :36
124 :36
125 :36
126 :36
127 :36
