Resulting imbalance:1.024
cutsize/#vertices:2.01928
Cutsize:9844
----------------------------
Part Weights:
0 :36
1 :39
2 :39
3 :39
4 :38
5 :37
6 :38
7 :39
8 :39
9 :36
10 :39
11 :39
12 :36
13 :38
14 :38
15 :39
16 :38
17 :39
18 :36
19 :38
20 :37
21 :39
22 :37
23 :39
24 :39
25 :39
26 :39
27 :36
28 :36
29 :39
30 :39
31 :36
32 :39
33 :39
34 :38
35 :38
36 :38
37 :36
38 :36
39 :39
40 :37
41 :39
42 :39
43 :39
44 :38
45 :39
46 :39
47 :38
48 :39
49 :38
50 :39
51 :39
52 :39
53 :37
54 :39
55 :39
56 :39
57 :37
58 :38
59 :36
60 :38
61 :38
62 :39
63 :39
64 :38
65 :39
66 :37
67 :39
68 :37
69 :39
70 :37
71 :36
72 :39
73 :37
74 :39
75 :39
76 :39
77 :39
78 :36
79 :39
80 :39
81 :39
82 :38
83 :38
84 :37
85 :38
86 :39
87 :39
88 :39
89 :39
90 :39
91 :37
92 :39
93 :39
94 :36
95 :39
96 :38
97 :39
98 :37
99 :39
100 :39
101 :37
102 :39
103 :39
104 :37
105 :38
106 :39
107 :39
108 :36
109 :39
110 :36
111 :36
112 :36
113 :39
114 :37
115 :38
116 :39
117 :38
118 :39
119 :39
120 :37
121 :36
122 :38
123 :39
124 :38
125 :39
126 :35
127 :39
