Resulting imbalance:1.02766
cutsize/#vertices:0.6916
Cutsize:12103
----------------------------
Part Weights:
0 :273
1 :277
2 :274
3 :272
4 :268
5 :273
6 :273
7 :272
8 :275
9 :273
10 :275
11 :275
12 :272
13 :270
14 :274
15 :277
16 :272
17 :270
18 :272
19 :265
20 :271
21 :274
22 :268
23 :272
24 :276
25 :274
26 :270
27 :280
28 :274
29 :272
30 :275
31 :272
32 :265
33 :281
34 :266
35 :273
36 :274
37 :267
38 :279
39 :267
40 :276
41 :275
42 :277
43 :272
44 :273
45 :281
46 :270
47 :275
48 :271
49 :276
50 :272
51 :275
52 :270
53 :278
54 :275
55 :274
56 :276
57 :281
58 :271
59 :279
60 :271
61 :277
62 :273
63 :280
