Resulting imbalance:1.0262
cutsize/#vertices:0.233183
Cutsize:2385
----------------------------
Part Weights:
0 :160
1 :160
2 :160
3 :157
4 :160
5 :155
6 :158
7 :162
8 :164
9 :160
10 :159
11 :160
12 :164
13 :160
14 :162
15 :161
16 :164
17 :157
18 :160
19 :163
20 :164
21 :164
22 :158
23 :157
24 :158
25 :157
26 :156
27 :156
28 :160
29 :160
30 :159
31 :161
32 :164
33 :160
34 :162
35 :159
36 :155
37 :155
38 :160
39 :158
40 :160
41 :164
42 :164
43 :164
44 :155
45 :160
46 :158
47 :160
48 :163
49 :161
50 :160
51 :159
52 :156
53 :161
54 :160
55 :164
56 :156
57 :156
58 :163
59 :160
60 :160
61 :160
62 :157
63 :158
