Resulting imbalance:1.0262
cutsize/#vertices:0.1228
Cutsize:1256
----------------------------
Part Weights:
0 :163
1 :160
2 :159
3 :155
4 :156
5 :158
6 :162
7 :163
8 :162
9 :156
10 :159
11 :162
12 :164
13 :160
14 :160
15 :161
16 :164
17 :162
18 :163
19 :158
20 :161
21 :157
22 :162
23 :160
24 :157
25 :156
26 :161
27 :163
28 :156
29 :161
30 :158
31 :161
32 :161
33 :159
34 :162
35 :159
36 :156
37 :164
38 :160
39 :160
40 :162
41 :155
42 :157
43 :164
44 :158
45 :164
46 :162
47 :157
48 :162
49 :160
50 :162
51 :159
52 :156
53 :161
54 :159
55 :155
56 :162
57 :160
58 :160
59 :157
60 :155
61 :160
62 :156
63 :164
