Resulting imbalance:1.02821
cutsize/#vertices:0.98432
Cutsize:15317
----------------------------
Part Weights:
0 :240
1 :238
2 :239
3 :243
4 :247
5 :238
6 :240
7 :244
8 :236
9 :250
10 :242
11 :250
12 :242
13 :242
14 :244
15 :244
16 :237
17 :250
18 :248
19 :249
20 :244
21 :236
22 :245
23 :250
24 :250
25 :236
26 :246
27 :244
28 :250
29 :243
30 :250
31 :250
32 :240
33 :243
34 :242
35 :239
36 :237
37 :243
38 :240
39 :242
40 :249
41 :244
42 :243
43 :243
44 :240
45 :242
46 :243
47 :238
48 :242
49 :244
50 :243
51 :250
52 :243
53 :237
54 :243
55 :243
56 :242
57 :236
58 :243
59 :239
60 :242
61 :250
62 :250
63 :239
