Resulting imbalance:1.02821
cutsize/#vertices:0.997815
Cutsize:15527
----------------------------
Part Weights:
0 :240
1 :239
2 :243
3 :239
4 :248
5 :244
6 :236
7 :245
8 :235
9 :249
10 :237
11 :243
12 :236
13 :246
14 :236
15 :249
16 :240
17 :236
18 :249
19 :250
20 :236
21 :236
22 :236
23 :235
24 :243
25 :250
26 :243
27 :250
28 :248
29 :248
30 :250
31 :250
32 :241
33 :243
34 :240
35 :250
36 :246
37 :250
38 :250
39 :248
40 :236
41 :238
42 :245
43 :238
44 :247
45 :236
46 :239
47 :238
48 :250
49 :244
50 :248
51 :250
52 :241
53 :239
54 :238
55 :245
56 :250
57 :235
58 :240
59 :238
60 :245
61 :250
62 :248
63 :250
