Resulting imbalance:1.0298
cutsize/#vertices:0.480069
Cutsize:5251
----------------------------
Part Weights:
0 :174
1 :176
2 :166
3 :174
4 :174
5 :168
6 :168
7 :174
8 :174
9 :168
10 :174
11 :174
12 :168
13 :175
14 :171
15 :171
16 :176
17 :174
18 :174
19 :171
20 :168
21 :172
22 :174
23 :165
24 :168
25 :168
26 :165
27 :168
28 :168
29 :167
30 :165
31 :174
32 :176
33 :175
34 :171
35 :168
36 :165
37 :173
38 :169
39 :176
40 :171
41 :174
42 :174
43 :171
44 :169
45 :173
46 :168
47 :174
48 :165
49 :174
50 :174
51 :174
52 :174
53 :168
54 :168
55 :171
56 :168
57 :168
58 :171
59 :165
60 :168
61 :170
62 :174
63 :173
