Resulting imbalance:1.02765
cutsize/#vertices:1.22572
Cutsize:25267
----------------------------
Part Weights:
0 :312
1 :319
2 :331
3 :313
4 :315
5 :331
6 :313
7 :316
8 :317
9 :319
10 :327
11 :313
12 :322
13 :331
14 :331
15 :313
16 :318
17 :326
18 :320
19 :331
20 :312
21 :314
22 :312
23 :312
24 :328
25 :313
26 :330
27 :312
28 :331
29 :330
30 :319
31 :324
32 :312
33 :313
34 :312
35 :331
36 :321
37 :329
38 :324
39 :318
40 :331
41 :329
42 :329
43 :328
44 :328
45 :328
46 :319
47 :330
48 :312
49 :331
50 :328
51 :312
52 :316
53 :331
54 :318
55 :318
56 :331
57 :331
58 :320
59 :327
60 :329
61 :325
62 :325
63 :323
