Resulting imbalance:1.02765
cutsize/#vertices:1.13753
Cutsize:23449
----------------------------
Part Weights:
0 :313
1 :312
2 :331
3 :312
4 :326
5 :331
6 :310
7 :318
8 :312
9 :331
10 :312
11 :312
12 :312
13 :331
14 :322
15 :316
16 :331
17 :314
18 :312
19 :329
20 :312
21 :331
22 :320
23 :312
24 :322
25 :327
26 :331
27 :312
28 :331
29 :322
30 :331
31 :331
32 :331
33 :331
34 :314
35 :331
36 :331
37 :331
38 :327
39 :312
40 :331
41 :312
42 :331
43 :313
44 :323
45 :312
46 :331
47 :331
48 :321
49 :327
50 :312
51 :312
52 :331
53 :318
54 :310
55 :316
56 :331
57 :312
58 :313
59 :331
60 :331
61 :326
62 :331
63 :331
