Resulting imbalance:1.02882
cutsize/#vertices:1.03056
Cutsize:18848
----------------------------
Part Weights:
0 :277
1 :277
2 :294
3 :277
4 :278
5 :294
6 :294
7 :277
8 :277
9 :291
10 :292
11 :291
12 :277
13 :294
14 :277
15 :281
16 :277
17 :285
18 :294
19 :276
20 :277
21 :294
22 :294
23 :288
24 :294
25 :277
26 :294
27 :294
28 :294
29 :277
30 :280
31 :277
32 :278
33 :294
34 :294
35 :277
36 :282
37 :294
38 :294
39 :293
40 :294
41 :277
42 :277
43 :282
44 :288
45 :284
46 :288
47 :276
48 :280
49 :276
50 :294
51 :277
52 :277
53 :294
54 :294
55 :284
56 :294
57 :294
58 :294
59 :294
60 :294
61 :280
62 :294
63 :277
