Resulting imbalance:1.02882
cutsize/#vertices:1.00421
Cutsize:18366
----------------------------
Part Weights:
0 :277
1 :294
2 :294
3 :277
4 :288
5 :294
6 :282
7 :277
8 :294
9 :281
10 :294
11 :294
12 :294
13 :293
14 :277
15 :293
16 :277
17 :284
18 :294
19 :279
20 :289
21 :277
22 :294
23 :278
24 :294
25 :283
26 :278
27 :294
28 :289
29 :288
30 :294
31 :277
32 :286
33 :282
34 :282
35 :278
36 :293
37 :281
38 :294
39 :293
40 :294
41 :293
42 :290
43 :294
44 :294
45 :294
46 :293
47 :294
48 :277
49 :277
50 :278
51 :277
52 :277
53 :294
54 :292
55 :277
56 :277
57 :277
58 :277
59 :277
60 :283
61 :288
62 :277
63 :277
