Resulting imbalance:1.02667
cutsize/#vertices:1.69292
Cutsize:8126
----------------------------
Part Weights:
0 :77
1 :76
2 :77
3 :72
4 :72
5 :74
6 :77
7 :77
8 :77
9 :76
10 :72
11 :76
12 :77
13 :74
14 :77
15 :77
16 :72
17 :77
18 :72
19 :77
20 :77
21 :77
22 :77
23 :72
24 :77
25 :72
26 :72
27 :76
28 :73
29 :72
30 :77
31 :74
32 :74
33 :72
34 :72
35 :77
36 :72
37 :75
38 :72
39 :72
40 :77
41 :77
42 :72
43 :76
44 :76
45 :76
46 :72
47 :76
48 :77
49 :72
50 :77
51 :77
52 :77
53 :77
54 :73
55 :77
56 :77
57 :77
58 :72
59 :75
60 :76
61 :77
62 :72
63 :77
