Resulting imbalance:1.01136
cutsize/#vertices:18.0301
Cutsize:36511
----------------------------
Part Weights:
0 :16
1 :16
2 :16
3 :16
4 :15
5 :16
6 :16
7 :16
8 :15
9 :15
10 :16
11 :16
12 :15
13 :16
14 :16
15 :16
16 :16
17 :15
18 :16
19 :16
20 :16
21 :16
22 :16
23 :16
24 :15
25 :16
26 :16
27 :15
28 :16
29 :16
30 :16
31 :16
32 :16
33 :16
34 :14
35 :15
36 :16
37 :16
38 :16
39 :16
40 :16
41 :16
42 :16
43 :16
44 :15
45 :16
46 :16
47 :16
48 :16
49 :16
50 :16
51 :16
52 :16
53 :16
54 :16
55 :16
56 :15
57 :16
58 :16
59 :16
60 :16
61 :16
62 :16
63 :16
64 :15
65 :16
66 :16
67 :16
68 :15
69 :15
70 :16
71 :16
72 :16
73 :16
74 :16
75 :16
76 :15
77 :15
78 :16
79 :16
80 :16
81 :16
82 :16
83 :16
84 :15
85 :16
86 :16
87 :16
88 :16
89 :15
90 :16
91 :16
92 :15
93 :16
94 :16
95 :16
96 :16
97 :16
98 :15
99 :16
100 :16
101 :16
102 :16
103 :16
104 :16
105 :16
106 :16
107 :16
108 :16
109 :16
110 :15
111 :16
112 :16
113 :16
114 :16
115 :16
116 :16
117 :16
118 :16
119 :16
120 :15
121 :16
122 :16
123 :16
124 :16
125 :16
126 :16
127 :16
