Resulting imbalance:1.01587
cutsize/#vertices:28.1664
Cutsize:95822
----------------------------
Part Weights:
0 :27
1 :27
2 :25
3 :27
4 :27
5 :27
6 :27
7 :25
8 :25
9 :27
10 :27
11 :27
12 :25
13 :27
14 :27
15 :27
16 :27
17 :27
18 :27
19 :26
20 :25
21 :25
22 :27
23 :27
24 :25
25 :27
26 :27
27 :27
28 :27
29 :27
30 :26
31 :27
32 :27
33 :27
34 :27
35 :27
36 :27
37 :25
38 :27
39 :27
40 :27
41 :25
42 :27
43 :27
44 :25
45 :27
46 :26
47 :27
48 :25
49 :25
50 :27
51 :27
52 :27
53 :27
54 :25
55 :27
56 :27
57 :27
58 :27
59 :27
60 :27
61 :27
62 :27
63 :26
64 :27
65 :27
66 :27
67 :25
68 :26
69 :27
70 :25
71 :27
72 :27
73 :27
74 :27
75 :27
76 :27
77 :27
78 :27
79 :27
80 :27
81 :27
82 :27
83 :27
84 :26
85 :25
86 :27
87 :25
88 :27
89 :27
90 :25
91 :27
92 :27
93 :25
94 :27
95 :26
96 :27
97 :27
98 :25
99 :27
100 :27
101 :27
102 :27
103 :27
104 :27
105 :27
106 :25
107 :27
108 :26
109 :27
110 :27
111 :25
112 :27
113 :27
114 :27
115 :27
116 :27
117 :27
118 :27
119 :27
120 :27
121 :27
122 :27
123 :25
124 :27
125 :27
126 :27
127 :27
