Resulting imbalance:1.01587
cutsize/#vertices:4.61758
Cutsize:15709
----------------------------
Part Weights:
0 :53
1 :54
2 :51
3 :51
4 :54
5 :54
6 :54
7 :54
8 :53
9 :52
10 :52
11 :51
12 :52
13 :54
14 :54
15 :51
16 :54
17 :54
18 :54
19 :54
20 :53
21 :54
22 :54
23 :54
24 :54
25 :54
26 :54
27 :54
28 :54
29 :54
30 :54
31 :54
32 :51
33 :54
34 :54
35 :54
36 :54
37 :53
38 :54
39 :54
40 :54
41 :52
42 :54
43 :54
44 :51
45 :51
46 :52
47 :54
48 :52
49 :51
50 :54
51 :54
52 :54
53 :54
54 :50
55 :53
56 :54
57 :54
58 :54
59 :54
60 :51
61 :54
62 :51
63 :51
