Resulting imbalance:1.02025
cutsize/#vertices:0.694086
Cutsize:8708
----------------------------
Part Weights:
0 :100
1 :97
2 :99
3 :100
4 :95
5 :97
6 :95
7 :97
8 :95
9 :99
10 :98
11 :99
12 :100
13 :99
14 :100
15 :100
16 :100
17 :97
18 :95
19 :99
20 :98
21 :96
22 :96
23 :97
24 :96
25 :99
26 :96
27 :96
28 :96
29 :98
30 :99
31 :95
32 :100
33 :98
34 :96
35 :100
36 :98
37 :99
38 :98
39 :98
40 :98
41 :98
42 :96
43 :98
44 :97
45 :96
46 :98
47 :99
48 :99
49 :100
50 :98
51 :97
52 :97
53 :99
54 :100
55 :100
56 :95
57 :95
58 :100
59 :97
60 :99
61 :95
62 :100
63 :99
64 :95
65 :97
66 :99
67 :96
68 :99
69 :98
70 :98
71 :97
72 :97
73 :100
74 :100
75 :95
76 :100
77 :100
78 :97
79 :97
80 :100
81 :100
82 :100
83 :100
84 :99
85 :99
86 :100
87 :99
88 :96
89 :100
90 :98
91 :100
92 :100
93 :97
94 :99
95 :95
96 :98
97 :100
98 :100
99 :95
100 :100
101 :95
102 :97
103 :95
104 :95
105 :100
106 :99
107 :98
108 :98
109 :100
110 :98
111 :100
112 :100
113 :97
114 :96
115 :95
116 :100
117 :97
118 :99
119 :100
120 :97
121 :96
122 :96
123 :98
124 :100
125 :100
126 :100
127 :100
