Resulting imbalance:1.02593
cutsize/#vertices:0.26893
Cutsize:2852
----------------------------
Part Weights:
0 :84
1 :80
2 :85
3 :80
4 :84
5 :80
6 :85
7 :83
8 :85
9 :85
10 :84
11 :80
12 :83
13 :80
14 :85
15 :80
16 :81
17 :83
18 :85
19 :84
20 :83
21 :80
22 :82
23 :83
24 :84
25 :83
26 :81
27 :85
28 :84
29 :84
30 :83
31 :83
32 :80
33 :84
34 :83
35 :83
36 :84
37 :81
38 :84
39 :80
40 :83
41 :83
42 :84
43 :82
44 :84
45 :84
46 :84
47 :80
48 :82
49 :84
50 :85
51 :81
52 :82
53 :84
54 :80
55 :84
56 :84
57 :80
58 :84
59 :84
60 :84
61 :84
62 :80
63 :84
64 :80
65 :83
66 :79
67 :85
68 :85
69 :84
70 :81
71 :85
72 :84
73 :80
74 :84
75 :84
76 :80
77 :84
78 :84
79 :84
80 :80
81 :80
82 :82
83 :85
84 :84
85 :84
86 :85
87 :81
88 :81
89 :80
90 :83
91 :83
92 :85
93 :85
94 :85
95 :84
96 :81
97 :84
98 :85
99 :85
100 :82
101 :80
102 :84
103 :84
104 :82
105 :83
106 :81
107 :85
108 :85
109 :76
110 :84
111 :83
112 :85
113 :80
114 :82
115 :85
116 :82
117 :82
118 :84
119 :83
120 :82
121 :84
122 :84
123 :83
124 :84
125 :80
126 :84
127 :84
