Resulting imbalance:1.02326
cutsize/#vertices:0.911216
Cutsize:7523
----------------------------
Part Weights:
0 :126
1 :129
2 :132
3 :126
4 :126
5 :132
6 :126
7 :132
8 :130
9 :132
10 :125
11 :125
12 :127
13 :132
14 :130
15 :132
16 :129
17 :132
18 :129
19 :126
20 :126
21 :126
22 :129
23 :129
24 :129
25 :126
26 :132
27 :126
28 :126
29 :126
30 :129
31 :129
32 :131
33 :125
34 :125
35 :131
36 :132
37 :132
38 :132
39 :132
40 :126
41 :132
42 :132
43 :132
44 :132
45 :127
46 :126
47 :129
48 :132
49 :127
50 :127
51 :132
52 :125
53 :132
54 :125
55 :132
56 :132
57 :131
58 :125
59 :132
60 :132
61 :125
62 :130
63 :130
